condition_ID,sspec_ID,condition,keywords,patient_description,scheduling_priority,scheduling_timeframe,special_instructions,bidec_question,true_scaler
0,0,Abnormal Pap Smear,abnormal pap smear repeat,Patient called to schedule repeat pap smear due to insufficient sampling,STANDARD,1-6 weeks,,"I see you may need a follow-up Pap test. Did your recent results come back as abnormal or needing further review?",1.2
1,0,Abnormal Uterine Bleeding,heavy bleeding irregular bleeding irregular menstruation bleeding after sex,Heavy bleeding irregular bleeding irregular menstruation periods bleeding after sex,STANDARD,1-3 months,,"I'd like to understand your symptoms better. Have you been experiencing any unusual bleeding patterns - such as heavier periods, bleeding between cycles, or spotting?",1.15
2,0,Abortion Services,termination pregnancy unwanted pregnancy MVA manual vacuum aspiration,Consults only for termination of pregnancy unwanted pregnancy MVA,STANDARD,Next Available,Consults only,"This is a safe space for any questions. Are you currently pregnant and would like to discuss your options regarding the pregnancy?",1.3
3,0,Adolescent Gynecology,adolescent gynecology ages 0-22 contraception,Adolescent ages 0-22 years for gynecology care contraception services,STANDARD,Next Available,Ages 0-22 years,"Are you a young person under 18 looking for gynecology care or information about your health?",1.1
4,0,Amenorrhea,amenorrhea no period 6 months,No period for 6 months or more,STANDARD,Next Available,,"I want to make sure we understand your cycle. Have your periods been absent for three months or longer when you're not using hormonal birth control?",1.2
5,0,Annual Exam,annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test,Preventive visit for annual checkup pelvic exam cervical screening pap smear HPV test,STANDARD,1 year + 1 day from last annual,Does not include chronic or acute problem management. Medicare every 2 years,"Is this primarily a routine wellness check-up without any new concerns you'd like to address?",1.1
6,0,Birth Control Consult,birth control consult contraception,Birth control consultation only,STANDARD,Next Available,,"Are you interested in discussing birth control options that might work best for your lifestyle?",1.1
7,1,Bladder Cancer,bladder cancer,Bladder cancer diagnosis or concern,URGENT,Transfer immediately,Transfer to Cancer Institute of New Jersey 732-235-6777,"I understand this may be concerning. Have you received a bladder cancer diagnosis or been told you need evaluation for this?",1.4
8,1,Bladder Incontinence,bladder incontinence bladder leakage,Bladder leakage or incontinence,STANDARD,Next Available,,"Many people experience this - it's more common than you might think. Do you sometimes experience unintentional urine leakage during the day?",1.2
9,1,Bladder Pain,bladder pain interstitial cystitis chronic bladder pressure pelvic pain,Chronic bladder pressure bladder pain pelvic pain interstitial cystitis painful bladder syndrome,STANDARD,Next Available,Not same as UTI,"Do you experience ongoing pelvic or bladder discomfort that seems to feel better after you urinate?",1.2
10,1,Bladder Prolapse,bladder prolapse,Bladder prolapse,ELEVATED,1-3 weeks,,"Have you noticed any uncomfortable pressure or a bulging sensation in your vaginal area, especially when you've been on your feet?",1.2
