"target_condition_id","target_subspecialty","variant_index","variant_keywords","user_input"
"0","general OB/GYN","1","[""LEEP procedure loop electrosurgical excision"", ""IUD insertion intrauterine device placement uterus"", ""abnormal pap smear repeat"", ""termination pregnancy unwanted pregnancy MVA manual vacuum aspiration"", ""myomectomy fibroid surgery"", ""UTI urinary tract infection painful urination burning urination cystitis""]","For since yesterday, it's been abnormal pap smear repeat, IUD insertion intrauterine device placement uterus, abnormal pap smear repeat, termination pregnancy unwanted pregnancy MVA manual vacuum aspiration, myomectomy fibroid surgery, and it burns when I pee. Any guidance?"
"0","general OB/GYN","2","[""birth control consult contraception"", ""adolescent gynecology ages 0-22 contraception"", ""abnormal pap smear repeat""]","Persistent abnormal pap smear repeat, adolescent gynecology ages 0-22 contraception, and abnormal pap smear repeat since yesterday."
"0","general OB/GYN","3","[""birth control consult contraception"", ""breastfeeding problems lactation"", ""yeast infection white discharge cottage cheese discharge itching clumps"", ""abnormal pap smear repeat""]","It's mostly abnormal pap smear repeat, breastfeeding problems lactation, itchiness, and abnormal pap smear repeat for a few days, with nausea."
"0","general OB/GYN","4","[""incision check post surgical c-section surgery follow-up"", ""abnormal pap smear repeat"", ""nexplanon contraceptive implant arm insertion removal"", ""hysteroscopy procedure in office""]","Recently it's been abnormal pap smear repeat, abnormal pap smear repeat, nexplanon contraceptive implant arm insertion removal, and hysteroscopy procedure in office."
"0","general OB/GYN","5","[""abnormal pap smear repeat"", ""non-stress test fetal monitoring baby wellbeing"", ""gynecology exam burning itching irritation vaginal area painful urination irregular menstruation discharge odor bumps""]","Recently it's been abnormal pap smear repeat, non-stress test fetal monitoring baby wellbeing, and itchiness."
"0","general OB/GYN","6","[""fibroids uterine fibroids"", ""abnormal pap smear repeat"", ""IUD insertion intrauterine device placement uterus"", ""sexual dysfunction intimacy problems"", ""heavy bleeding irregular bleeding irregular menstruation bleeding after sex"", ""breast lump breast mass breast discomfort breast pain breast redness""]","For for several months, it's been abnormal pap smear repeat, abnormal pap smear repeat, IUD insertion intrauterine device placement uterus, sexual dysfunction intimacy problems, heavy flow, and breast lump breast mass breast discomfort breast pain breast redness. Any guidance?"
"0","general OB/GYN","7","[""LEEP procedure loop electrosurgical excision"", ""endometrial biopsy"", ""abnormal pap smear repeat""]","Recently it's been abnormal pap smear repeat, endometrial biopsy, and abnormal pap smear repeat."
"0","general OB/GYN","8","[""colposcopy abnormal pap office procedure"", ""amenorrhea no period 6 months"", ""abnormal pap smear repeat""]","I keep getting abnormal pap smear repeat, amenorrhea no period 6 months, and abnormal pap smear repeat for two weeks, after intercourse."
"0","general OB/GYN","9","[""endometrial biopsy"", ""abnormal pap smear repeat"", ""yeast infection white discharge cottage cheese discharge itching clumps"", ""non-stress test fetal monitoring baby wellbeing""]","It's mostly abnormal pap smear repeat, abnormal pap smear repeat, itchiness, and non-stress test fetal monitoring baby wellbeing over the past month, during my period."
"0","general OB/GYN","10","[""yeast infection white discharge cottage cheese discharge itching clumps"", ""depo injection birth control DMPA contraception"", ""abnormal pap smear repeat""]","I've been dealing with itchiness, depo injection birth control DMPA contraception, and abnormal pap smear repeat over the past month, with nausea."
