"Symptom","Description"
"Abnormal Pap Smear","Patient called to schedule another appointment for a repeat pap smear due to insufficient sample."
"Abortion Services","Consults only for termination of pregnancy, unwanted pregnancy, or manual vacuum aspiration (MVA)."
"Adolescent Gynecology","Care for adolescents ages 0-22, including contraception services and general gynecology."
"Amenorrhea (No Period)","No menstrual period for 6 months."
"Annual Exams","Preventive visit including annual checkup, wellness exam, pelvic exam, cervical screening, pap smear, and HPV testing. Does NOT include management of chronic or acute problems."
"Birth Control Consult Only","Consultation regarding contraception options."
"Bladder Cancer","Transfer to Cancer Institute of New Jersey (CINJ) 732-235-6777."
"Bladder Incontinence (Bladder leakage)","Loss of bladder control causing urine leakage."
"Bladder Pain / Interstitial Cystitis","Chronic condition causing bladder pressure, bladder pain, and sometimes pelvic pain; ranges from mild discomfort to severe pain."
"Bladder Prolapse","Bulge of the bladder into the vagina."
"Bladder Spasms","Involuntary contractions of the bladder muscle."
"Blood in Urine","Hematuria."
"Botox","Therapeutic or cosmetic injection, e.g., for bladder dysfunction."
"Bowel Leakage","Loss of control over bowel movements."
"Breast Lump, Mass, Discomfort","Breast discomfort, lump, mass, pain, or redness."
"Breastfeeding Issues","Difficulties with lactation or nursing."
"Chronic Urinary Infections","Recurrent UTI, defined as 3 or more infections within 1 year."
"Colposcopy","Office procedure performed after abnormal PAP smear."
"Contraceptive Implant Consult / Intrauterine Device (IUD) Consult","Discussion to order birth control device; device is not provided on the same day."
"Cystocele","Bulge of the bladder into the vagina."
"Cystoscopy","Office procedure for established patients only; patient must have a doctor’s order."
"Depo Provera","DEPO injection (DMPA) for birth control."
"Difficulty Urinating / Urinary Retention","Unable to urinate or requires Foley catheter; refer to RHD Urology."
"Ectopic Pregnancy Management","Management of pregnancy in the fallopian tubes or miscarriage."
"Endometrial Biopsy","Biopsy of the uterine lining."
"Endometriosis","Consult only; all new patients should be scheduled as Telehealth visits on Mondays."
"Fecal Incontinence","Loss of bowel control; refer to Surgery unless fecal incontinence is vaginal in origin."
"Fibroids","Uterine fibroids (noncancerous growths)."
"Gardasil","3-dose HPV preventative vaccination."
"Gas Incontinence","Inability to control gas."
"Gender Affirming Care (New or Established)","Transgender care for patients born female only."
"General GYN Issues","Gynecology exam for burning, itching, irritation, painful urination, irregular periods, painful menstruation, odor, discharge, bumps."
"Gynecological Surgery Consults","Consultation for surgery, growth removal, hysterectomy procedures, second opinions, or if general GYN does not perform surgery."
"Heavy Bleeding","Excessive or irregular menstrual bleeding."
"Hormone Replacement Therapy","Common treatment for menopause."
"Hysterectomy Consult for Transgender / Gender Affirming Surgery","Only patients born female; transgender females (born male) are referred to Urology."
"Hysterectomy (VNOTES procedure / Vaginal Hysterectomy)","Surgical removal of the uterus via the vagina."
"Hysteroscopy Procedures Consult","In-office procedure; patient must request scheduling."
"Incision Checks","Surgical site follow-up, typically after C-section or other procedures; schedule with the original surgeon or designated backup providers."
"Infertility / IVF","Refer patients to RMA; not performed in-office."
"Interstitial Cystitis (Not a UTI)","Chronic bladder condition causing pressure, pain, and sometimes pelvic pain."
"Intrauterine Device (IUD) Insertion","Device inserted into uterus after initial consult and staff confirmation."
"Intrauterine Device (IUD) Removal","Device removed from uterus at provider discretion."
"Labia Hypertrophy","Enlarged labia."
