division,subspecialty,condition,keywords,patient_description,scheduling_priority,scheduling_timeframe,special_instructions
"OB/GYN","general OB/GYN","Abnormal Pap Smear","abnormal pap smear repeat","Patient called to schedule repeat pap smear due to insufficient sampling","STANDARD","1-6 weeks",""
"OB/GYN","general OB/GYN","Abnormal Uterine Bleeding","heavy bleeding irregular bleeding irregular menstruation bleeding after sex","Heavy bleeding irregular bleeding irregular menstruation periods bleeding after sex","STANDARD","1-3 months",""
"OB/GYN","general OB/GYN","Abortion Services","termination pregnancy unwanted pregnancy MVA manual vacuum aspiration","Consults only for termination of pregnancy unwanted pregnancy MVA","STANDARD","Next Available","Consults only"
"OB/GYN","general OB/GYN","Adolescent Gynecology","adolescent gynecology ages 0-22 contraception","Adolescent ages 0-22 years for gynecology care contraception services","STANDARD","Next Available","Ages 0-22 years"
"OB/GYN","general OB/GYN","Amenorrhea","amenorrhea no period 6 months","No period for 6 months or more","STANDARD","Next Available",""
"OB/GYN","general OB/GYN","Annual Exam","annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test","Preventive visit for annual checkup pelvic exam cervical screening pap smear HPV test","STANDARD","1 year + 1 day from last annual","Does not include chronic or acute problem management. Medicare every 2 years"
"OB/GYN","general OB/GYN","Birth Control Consult","birth control consult contraception","Birth control consultation only","STANDARD","Next Available",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Bladder Cancer","bladder cancer","Bladder cancer diagnosis or concern","URGENT","Transfer immediately","Transfer to Cancer Institute of New Jersey 732-235-6777"
"UROGYN","urogynecology & reconstructive pelvic medicine","Bladder Incontinence","bladder incontinence bladder leakage","Bladder leakage or incontinence","STANDARD","Next Available",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Bladder Pain","bladder pain interstitial cystitis chronic bladder pressure pelvic pain","Chronic bladder pressure bladder pain pelvic pain interstitial cystitis painful bladder syndrome","STANDARD","Next Available","Not same as UTI"
"UROGYN","urogynecology & reconstructive pelvic medicine","Bladder Prolapse","bladder prolapse","Bladder prolapse","ELEVATED","1-3 weeks",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Bladder Spasms","bladder spasms","Bladder spasms","STANDARD","Next Available",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Blood in Urine","blood in urine hematuria","Blood in urine hematuria","ELEVATED","1-3 weeks",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Botox","botox bladder treatment","Botox treatment for bladder issues","STANDARD","Next Available",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Bowel Leakage","bowel leakage fecal incontinence","Bowel or fecal leakage","ELEVATED","1-3 weeks",""
"OB/GYN","general OB/GYN","Breast Lump","breast lump breast mass breast discomfort breast pain breast redness","Breast discomfort lump mass pain or redness","URGENT","Transfer to Nurse","Transfer to nurse immediately"
"OB/GYN","general OB/GYN","Breastfeeding Issues","breastfeeding problems lactation","Breastfeeding or lactation issues","URGENT","Transfer to Nurse","Transfer to nurse immediately"
"UROGYN","urogynecology & reconstructive pelvic medicine","Chronic Urinary Infections","chronic UTI recurrent UTI frequent UTI 3 or more infections","Recurrent or frequent urinary tract infections 3 or more within 1 year","STANDARD","Next Available",""
"OB/GYN","general OB/GYN","Colposcopy","colposcopy abnormal pap office procedure","Office procedure for abnormal PAP smear","STANDARD","Next Available",""
"OB/GYN","general OB/GYN","Contraceptive Implant Consult","IUD consult intrauterine device birth control device","Consultation for IUD or contraceptive implant discussion to order device","STANDARD","Next Available","Patient will not receive device same day"
"UROGYN","urogynecology & reconstructive pelvic medicine","Cystocele","cystocele bladder bulge vagina","Bulge of bladder into vagina","ELEVATED","1-3 weeks",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Cystoscopy","cystoscopy office procedure","Office procedure for established patients with doctor order","STANDARD","Based on Physician Order","Established patients only with physician order required"
"OB/GYN","general OB/GYN","Depo Provera","depo injection birth control DMPA contraception","Depo provera injection for birth control","STANDARD","Schedule when patient has medication 3 months from last visit",""
"UROGYN","urogynecology & reconstructive pelvic medicine","Difficulty Urinating","difficulty urinating urinary retention unable to urinate foley catheter","Urinary retention unable to urinate or has foley catheter","URGENT","Do Not Schedule","Refer to RHD Urology"
"OB/GYN","general OB/GYN","Ectopic Pregnancy","ectopic pregnancy pregnant in tubes miscarriage","Ectopic pregnancy management pregnant in tubes","CRITICAL","0-3 days","If nothing available send CRM to Front Desk Surgical Scheduling and Clinical Team"
"OB/GYN","general OB/GYN","Endometrial Biopsy","endometrial biopsy","Endometrial biopsy procedure","STANDARD","Next Available",""
"OB/GYN","general OB/GYN","Endometriosis","endometriosis","Endometriosis consultation","STANDARD","Next Available","Consult only. New patients schedule as telehealth on Monday first"
