condition_ID,division,subspecialty,condition,keywords,patient_description,scheduling_priority,scheduling_timeframe,special_instructions
0,OB/GYN,general OB/GYN,Abnormal Pap Smear,abnormal pap smear repeat,Patient called to schedule repeat pap smear due to insufficient sampling,STANDARD,1-6 weeks,
1,OB/GYN,general OB/GYN,Abnormal Uterine Bleeding,heavy bleeding irregular bleeding irregular menstruation bleeding after sex,Heavy bleeding irregular bleeding irregular menstruation periods bleeding after sex,STANDARD,1-3 months,
2,OB/GYN,general OB/GYN,Abortion Services,termination pregnancy unwanted pregnancy MVA manual vacuum aspiration,Consults only for termination of pregnancy unwanted pregnancy MVA,STANDARD,Next Available,Consults only
3,OB/GYN,general OB/GYN,Adolescent Gynecology,adolescent gynecology ages 0-22 contraception,Adolescent ages 0-22 years for gynecology care contraception services,STANDARD,Next Available,Ages 0-22 years
4,OB/GYN,general OB/GYN,Amenorrhea,amenorrhea no period 6 months,No period for 6 months or more,STANDARD,Next Available,
5,OB/GYN,general OB/GYN,Annual Exam,annual checkup preventative care wellness exam pelvic exam cervical screening pap smear HPV test,Preventive visit for annual checkup pelvic exam cervical screening pap smear HPV test,STANDARD,1 year + 1 day from last annual,Does not include chronic or acute problem management. Medicare every 2 years
6,OB/GYN,general OB/GYN,Birth Control Consult,birth control consult contraception,Birth control consultation only,STANDARD,Next Available,
7,UROGYN,urogynecology & reconstructive pelvic medicine,Bladder Cancer,bladder cancer,Bladder cancer diagnosis or concern,URGENT,Transfer immediately,Transfer to Cancer Institute of New Jersey 732-235-6777
8,UROGYN,urogynecology & reconstructive pelvic medicine,Bladder Incontinence,bladder incontinence bladder leakage,Bladder leakage or incontinence,STANDARD,Next Available,
9,UROGYN,urogynecology & reconstructive pelvic medicine,Bladder Pain,bladder pain interstitial cystitis chronic bladder pressure pelvic pain,Chronic bladder pressure bladder pain pelvic pain interstitial cystitis painful bladder syndrome,STANDARD,Next Available,Not same as UTI
